file_name,exists,expected_size_bytes,actual_size_bytes,size_matches,expected_sha256,actual_sha256,hash_matches
google_play_reviews_after_runB_followup.sqlite.zip,True,21872348,21872348,True,64fa07617e80148cb3fc02198ea1b0b866e76e639bf6527e0deef91225c668ad,64fa07617e80148cb3fc02198ea1b0b866e76e639bf6527e0deef91225c668ad,True
phase2_cadence_runA_runB_app_level_recommendations.csv,True,4991,4991,True,e5403120fca78d0f85e7a703d982fcf5ef4ff8ac826304d9386163dde31e1611,e5403120fca78d0f85e7a703d982fcf5ef4ff8ac826304d9386163dde31e1611,True
phase2_cadence_runA_runB_comparison_validation.csv,True,431,431,True,c01d832d60e1ee7094103a81f48d32256bedc727d0815a55314046211d794668,c01d832d60e1ee7094103a81f48d32256bedc727d0815a55314046211d794668,True
phase2_cadence_runA_runB_final_report.md,True,9659,9659,True,7aaf257cd24a87ad9c0a32f68366eb39c590f7c0f6c441075481ba08a158a4eb,7aaf257cd24a87ad9c0a32f68366eb39c590f7c0f6c441075481ba08a158a4eb,True
phase2_cadence_runA_runB_final_report_validation.csv,True,495,495,True,c4088b28eae4bea49ad7b24e153bfb2e72469f19924d9cb6f85714a98dc954cb,c4088b28eae4bea49ad7b24e153bfb2e72469f19924d9cb6f85714a98dc954cb,True
phase2_cadence_runA_runB_run_level_comparison.csv,True,1051,1051,True,b94328cfbb96263a8714dd9d678dab1a56dfc3e102fca80cf60084a6995d92bc,b94328cfbb96263a8714dd9d678dab1a56dfc3e102fca80cf60084a6995d92bc,True
phase2_cadence_runA_timestamp_audit_reconstructed.csv,True,1911655,1911655,True,bdf346a6614e77c045fb251121d320e34e9edd97237679398fc6328a0fa02de0,bdf346a6614e77c045fb251121d320e34e9edd97237679398fc6328a0fa02de0,True
phase2_cadence_runA_timestamp_summary_reconstructed.csv,True,2387,2387,True,3a0b49f834e34b31b5a128e9bcffea4bf2d740195e7b4a796e155a4dcdc06b8c,3a0b49f834e34b31b5a128e9bcffea4bf2d740195e7b4a796e155a4dcdc06b8c,True
phase2_cadence_runA_timestamp_validation.csv,True,265,265,True,afd30b638e087afb3780f5f018ccae1aaad837497fce5d4adf1a3d007aefaf27,afd30b638e087afb3780f5f018ccae1aaad837497fce5d4adf1a3d007aefaf27,True
phase2_cadence_runB_followup_app_summary.csv,True,3812,3812,True,9165dc2dcee8f4b12a4d01061663102ef2f87f630bf0292fac825256e1db2e5f,9165dc2dcee8f4b12a4d01061663102ef2f87f630bf0292fac825256e1db2e5f,True
phase2_cadence_runB_followup_database_validation.csv,True,680,680,True,3c410db7a2df71ce5115b19b169b58a13a85aeb2f6a9931b7be64f91b8df7b25,3c410db7a2df71ce5115b19b169b58a13a85aeb2f6a9931b7be64f91b8df7b25,True
phase2_cadence_runB_followup_final_database_validation.csv,True,432,432,True,17e61688305333f30cb1883ce9ec330f84a9549ab50eed585e9c26995fa52d9c,17e61688305333f30cb1883ce9ec330f84a9549ab50eed585e9c26995fa52d9c,True
phase2_cadence_runB_followup_final_runB_records.csv,True,903,903,True,4211b5d734073352f10a19deeb5288cb7395ca3d4eaf10b0f39cd21ddc9bdc56,4211b5d734073352f10a19deeb5288cb7395ca3d4eaf10b0f39cd21ddc9bdc56,True
phase2_cadence_runB_followup_metadata.json,True,1953,1953,True,7426833721fa5bdade9abad4917a8aee1f632cf0ffc1b89f62a5651e44a5f7ac,7426833721fa5bdade9abad4917a8aee1f632cf0ffc1b89f62a5651e44a5f7ac,True
phase2_cadence_runB_followup_runtime_metrics.csv,True,398,398,True,bb77b253824fc1d3298bea5fb2a95553d17e4743c82bc740c2627ea87d37cb21,bb77b253824fc1d3298bea5fb2a95553d17e4743c82bc740c2627ea87d37cb21,True
phase2_cadence_runB_followup_runtime_validation.csv,True,200,200,True,e4c0bd76166cf0104529f71395a23d1043be674095ac8c1d0b9e4846ea630fb4,e4c0bd76166cf0104529f71395a23d1043be674095ac8c1d0b9e4846ea630fb4,True
phase2_cadence_runB_followup_source_freshness_diagnostic.csv,True,4870,4870,True,3114bb8e7e1c5d47692ee584a420158c6e744f29ef1a4b7bde314dc67fc593ee,3114bb8e7e1c5d47692ee584a420158c6e744f29ef1a4b7bde314dc67fc593ee,True
phase2_cadence_runB_followup_source_freshness_validation.csv,True,291,291,True,09e4892021b3717606f66162c7399cbb55396b4fb9d4cb38e9092eab6129137f,09e4892021b3717606f66162c7399cbb55396b4fb9d4cb38e9092eab6129137f,True
phase2_cadence_runB_followup_timestamp_audit.csv,True,1651494,1651494,True,6fbaec6082e4b2461466b3bbef847b7db00478b488956fa78b009aba7e105461,6fbaec6082e4b2461466b3bbef847b7db00478b488956fa78b009aba7e105461,True
phase2_cadence_runB_followup_timestamp_summary.csv,True,2397,2397,True,edd8d18f5cda162d65f0625e0800948103e8989026167e8a8872baaa7dba2995,edd8d18f5cda162d65f0625e0800948103e8989026167e8a8872baaa7dba2995,True
phase2_cadence_runB_followup_timestamp_validation.csv,True,304,304,True,0dc18c72c15119049b14311f38aceb77cb7530ba603fbd9a1fb7a913d4c33fe9,0dc18c72c15119049b14311f38aceb77cb7530ba603fbd9a1fb7a913d4c33fe9,True
phase2_complete_run_history.csv,True,2082,2082,True,85ae019e193155afba87cc049d118d36aa4bd7d20eba12792097737f4d386f8f,85ae019e193155afba87cc049d118d36aa4bd7d20eba12792097737f4d386f8f,True
